scenario,model,seed,count,p50_m,p95_m,p99_m,max_m,outside300_fraction,period300_amplitude,a4_raw,mean_proposals
single-5000,V300,2026090701,1000,102.55271034651834,191.49352843278655,226.08247508327193,278.31665430768305,0.0,0.1890254357753447,0.022470618481611207,1.918
single-5000,V300,2026090702,1000,103.04345687564161,189.86738888637421,222.02793368976648,251.63011240810343,0.0,0.17600814749601,0.0476149100074277,1.946
single-5000,V300,2026090703,1000,102.52118994478116,187.16179086221752,221.3573165614481,247.79227440130495,0.0,0.19039746935670024,0.055594203013938415,1.927
single-5000,V300,2026090704,1000,101.9457639858781,194.22506761964638,224.15211848245582,250.32871764081276,0.0,0.18642735241127986,0.03870230532392263,1.872
single-5000,V300,2026090705,1000,100.67992455520671,195.42049220181002,231.86211202407608,251.15690874201323,0.0,0.18812674847973632,0.027530323744041352,1.931
single-5000,V300,pooled,5000,102.1206001934575,191.57330527616773,226.27572994045747,278.31665430768305,0.0,0.1846884163794654,0.009870164645025548,1.9188
grid-equal-500,D,2026090701,900,98.73396553668829,187.20282508934534,221.05243893363294,266.20853090313244,0.0,0.2184733805227524,0.030805543385625897,1.0
grid-equal-500,D,2026090702,900,99.79733731273213,184.48547919359393,219.7031875615228,265.61699244444577,0.0,0.20962255444580466,0.03780612424129598,1.0
grid-equal-500,D,2026090703,900,93.49442637015554,190.72391626599375,222.53329419445384,269.9277011701667,0.0,0.24478057587418345,0.04317431972984774,1.0
grid-equal-500,D,2026090704,900,98.4584236633959,186.2764497449952,232.26343386171726,270.09067758761637,0.0,0.21183867823270305,0.006876437950321586,1.0
grid-equal-500,D,2026090705,900,100.01679314134363,186.65425494765424,216.46266074231144,230.8478604586392,0.0,0.2318703346348407,0.037552433798415934,1.0
grid-equal-500,D,pooled,4500,97.82803616198008,186.76485364815275,220.65707821082285,270.09067758761637,0.0,0.22204670741132174,0.004663101077093389,1.0
grid-equal-500,V,2026090701,900,143.48680071311384,273.9233623475427,319.68158625635147,405.3613761237554,0.024444444444444446,0.03589426295013982,0.012751429005148892,1.0
grid-equal-500,V,2026090702,900,141.34598056729575,271.27893909611214,317.58641617779307,368.73659514292007,0.023333333333333334,0.03627276650736444,0.02193923325921801,1.0
