protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,requested_count,generated_count,outer_count,inner_count,outer_area_m2,inner_area_m2,outer_share,inner_share,raw_density_ratio,observation_status,interpretation
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n500,2026090602,100,100,25,14,53721.23437638546,48066.36759992383,0.25,0.14,1.5977443609022557,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n500,2026090603,100,100,16,18,53721.23437638546,48066.36759992383,0.16,0.18,0.7953216374269007,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n500,2026090604,100,100,22,18,53721.23437638546,48066.36759992383,0.22,0.18,1.0935672514619883,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n500,2026090605,100,100,23,14,53721.23437638546,48066.36759992383,0.23,0.14,1.4699248120300752,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n5000,,5000,5000,928,837,53721.23437638546,48066.36759992383,0.1856,0.1674,0.9920140853926932,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n5000,2026090601,1000,1000,179,169,53721.23437638546,48066.36759992383,0.179,0.169,0.9476798505138586,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n5000,2026090602,1000,1000,192,154,53721.23437638546,48066.36759992383,0.192,0.154,1.115516062884484,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n5000,2026090603,1000,1000,185,173,53721.23437638546,48066.36759992383,0.185,0.173,0.9567995132339521,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n5000,2026090604,1000,1000,184,163,53721.23437638546,48066.36759992383,0.184,0.163,1.0100096867936712,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n5000,2026090605,1000,1000,188,178,53721.23437638546,48066.36759992383,0.188,0.178,0.945002956830278,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n500-per-center,,4500,4500,159,272,53721.23437638546,48066.36759992383,0.035333333333333335,0.060444444444444446,0.5230263157894737,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n500-per-center,2026090601,900,900,43,54,53721.23437638546,48066.36759992383,0.04777777777777778,0.06,0.712475633528265,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n500-per-center,2026090602,900,900,27,44,53721.23437638546,48066.36759992383,0.03,0.04888888888888889,0.5490430622009569,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n500-per-center,2026090603,900,900,21,60,53721.23437638546,48066.36759992383,0.023333333333333334,0.06666666666666667,0.31315789473684214,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n500-per-center,2026090604,900,900,41,69,53721.23437638546,48066.36759992383,0.04555555555555556,0.07666666666666666,0.5316552250190694,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n500-per-center,2026090605,900,900,27,45,53721.23437638546,48066.36759992383,0.03,0.05,0.5368421052631579,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n5000-per-center,,45000,45000,1662,2616,53721.23437638546,48066.36759992383,0.03693333333333333,0.058133333333333335,0.5684451955577016,inner-observed,descriptive-only
