protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090601,radius,p50,120.36035129448112,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090601,radius,p95,180.68919752120001,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090601,radius,p99,197.09095655741152,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090601,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090601,seam300,value,0.07401949423040491,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090602,a4,value,0.13638514142386746,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090602,radius,max,211.37750020022557,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090602,radius,p50,119.15057688922946,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090602,radius,p95,179.46130267245888,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090602,radius,p99,197.15879929158885,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090602,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090602,seam300,value,0.0766169972147759,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090603,a4,value,0.14975567375310322,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090603,radius,max,209.64036846861063,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090603,radius,p50,119.54769657891815,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090603,radius,p95,179.11685045150176,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090603,radius,p99,196.89268405067926,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090603,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090603,seam300,value,0.08587510055719894,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090604,a4,value,0.14048946418129651,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090604,radius,max,211.32271383953477,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090604,radius,p50,119.24577599787803,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090604,radius,p95,178.4508886573428,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090604,radius,p99,199.50060017748916,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090604,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090604,seam300,value,0.12783330978064597,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090605,a4,value,0.1406528152970343,ratio,valid
