protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090304,seam300,value,1.6628787878787878,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090305,a4,value,0.15991714292637133,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090305,edgeRatio30,value,1.0634920634920635,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090305,radius,max,186.20996770747496,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090305,radius,p50,109.86332769272876,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090305,radius,p95,168.7049186261389,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090305,radius,p99,175.61270147549598,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090305,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090305,seam300,value,1.4916666666666665,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,a4,max,0.03642801152387926,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,a4,median,0.0,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,a4,min,0.0,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,edgeRatio30,max,1.4912280701754386,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,edgeRatio30,median,0.17894736842105266,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,edgeRatio30,min,0.12781954887218047,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,hotspot50,cv,1.5152839117912305,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,hotspot50,max,80.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,hotspot50,p99,54.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,neighbors10,value,3.1946666666666665,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,proximity16,value,0.9513333333333334,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,proximity24,value,0.9864444444444445,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,proximity8,value,0.7428888888888889,ratio,valid
