scene,model,seed,n,rms_m,p50_m,p95_m,p99_m,max_m,outside300_fraction,period300_amplitude
stationary-5000,L,2026090703,1000,175.84305472251816,116.64826731637464,348.1066175105279,496.3286662747768,915.7911084121256,0.078,0.1944985376929111
stationary-5000,L,2026090704,1000,168.8169961315994,114.30854484778307,325.339032515854,441.6190873838979,719.9801432564213,0.071,0.18630613087432624
stationary-5000,L,2026090705,1000,166.21647410784874,116.99393162563462,334.1209696714688,413.36114113949543,599.6720399385421,0.066,0.1834235699117552
stationary-5000,L,pooled,5000,167.92717984683668,116.6210946120233,330.43531691058615,441.21152479463655,915.7911084121256,0.069,0.18446358133450663
uniform-45000,D,2026090701,9000,166.8047857123554,144.95166100439803,278.33171638452546,328.49798415681937,431.9841326144899,0.026111111111111113,0.21684412321794333
uniform-45000,D,2026090702,9000,166.59477493233388,144.91838837727778,277.0684699806905,328.1507661085047,415.34106317251263,0.025666666666666667,0.2149829882046861
uniform-45000,D,2026090703,9000,166.83747207853244,146.7179854316647,276.06832356614757,325.9925501063189,424.3180012625082,0.024555555555555556,0.21670985884086283
uniform-45000,D,2026090704,9000,166.3122316841719,144.2532339836641,275.80722637439345,329.6275975950006,416.236210247956,0.026222222222222223,0.22065068616867065
uniform-45000,D,2026090705,9000,165.42496722508488,144.2845848186711,274.28720124646236,324.3790345172126,410.3404965775979,0.024777777777777777,0.2220122229882175
uniform-45000,D,pooled,45000,166.3956585070931,144.9768092965008,276.31896121789697,327.66266516106145,431.9841326144899,0.025466666666666665,0.2181036250435238
uniform-45000,G,2026090701,9000,166.66258879602222,137.52611637519996,288.9732013535437,363.32147912842186,532.9926561031142,0.04,0.005443429665828885
uniform-45000,G,2026090702,9000,166.68190180585597,139.26407047672353,288.99528473036185,357.3516281021611,489.4179811418447,0.04088888888888889,0.0070522462664609695
uniform-45000,G,2026090703,9000,167.0779159472407,137.28501725212604,291.20458248124567,360.1729956357005,483.8657614914868,0.04111111111111111,0.007750321938567596
